Address
"-19.94752184967063, -43.96725159377594"
"-19.948251949652235, -43.91412882098226"
"-19.889414719263485, -43.98147792064712"
"-19.968896195839974, -43.967545475260785"
"-19.961709905218093, -43.901476290835575"
"-19.921576597509368, -43.90278807141139"
"-19.927498873461314, -43.96156722225737"
"-19.913644931604182, -43.927955205425874"
"-19.96284848793303, -43.947231454763035"
"-19.951700842991386, -43.961877048852266"
"-19.910531427148218, -43.921397833923926"
"-19.92780851803687, -43.96938174632795"
"-19.894429310059717, -43.95873197631487"
"-19.891762893001093, -43.919181232025416"
"-19.895380988069725, -43.98389931965607"
"-19.901908501303023, -43.98182545700152"
"-19.941827729588642, -43.89688968628894"
"-19.953471242760788, -43.933593278384556"
"-19.967333976304584, -43.956909742992366"
"-19.968484631471878, -43.992212287413786"
